epoch:154 train_loss:0.014210115186870098 test_acc:0.648919900592621 test_loss:0.01986355520784855
epoch:155 train_loss:0.015180764719843864 test_acc:0.6314280252341808 test_loss:0.025625938549637794
epoch:156 train_loss:0.014628862962126732 test_acc:0.6346778818581533 test_loss:0.01672179624438286
epoch:157 train_loss:0.009714754298329353 test_acc:0.6384056585738864 test_loss:0.024282896891236305
epoch:158 train_loss:0.014665402472019196 test_acc:0.6479640604090996 test_loss:0.035053227096796036
epoch:159 train_loss:0.010687271133065224 test_acc:0.6450009558401836 test_loss:0.018045101314783096
epoch:160 train_loss:0.012915799394249916 test_acc:0.6364939782068438 test_loss:0.033086393028497696
epoch:161 train_loss:0.0111021026968956 test_acc:0.6457656279870005 test_loss:0.043240733444690704
epoch:162 train_loss:0.011072823777794838 test_acc:0.6230166316191933 test_loss:0.04881054908037186
epoch:163 train_loss:0.010268652811646461 test_acc:0.6368763142802524 test_loss:0.02580214850604534
epoch:164 train_loss:0.011401200667023659 test_acc:0.6265532402982221 test_loss:0.033359937369823456
epoch:165 train_loss:0.012250194326043129 test_acc:0.6511183330147199 test_loss:0.01486362237483263
epoch:166 train_loss:0.01248596515506506 test_acc:0.6444274517300708 test_loss:0.05106782913208008
epoch:167 train_loss:0.011445666663348675 test_acc:0.6583827184094819 test_loss:0.051473405212163925
epoch:168 train_loss:0.009026273153722286 test_acc:0.6485375645192124 test_loss:0.05944516882300377
epoch:169 train_loss:0.016333555802702904 test_acc:0.6418466832345632 test_loss:0.016611315310001373
epoch:170 train_loss:0.012813727371394634 test_acc:0.6648824316574269 test_loss:0.026998257264494896
epoch:171 train_loss:0.00858415849506855 test_acc:0.6406996750143376 test_loss:0.06744993478059769
epoch:172 train_loss:0.008581485599279404 test_acc:0.6622060791435672 test_loss:0.03847693279385567
epoch:173 train_loss:0.012278484180569649 test_acc:0.6726247371439495 test_loss:0.016329439356923103
epoch:174 train_loss:0.016443371772766113 test_acc:0.652552093290002 test_loss:0.03479992598295212
epoch:175 train_loss:0.016213133931159973 test_acc:0.6729114891990059 test_loss:0.04867557808756828
epoch:176 train_loss:0.009180646389722824 test_acc:0.6633530873637927 test_loss:0.09679361432790756
epoch:177 train_loss:0.009972738102078438 test_acc:0.6696616325750334 test_loss:0.03280249610543251
